obs,andip,pp,type,prat,rep,freq,arcf,ds,dm,di,gyn,fat,dem,con,etude,forma,prot,moyen,mac,tete,instr,cesar,deliv,stres,doul,fract,dechi,rupt,embo,ru,atoni,modif,aNAlg,delai,pos,ocyto,ph,epi,vent,vecu,kiwi
26,2015,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1
27,2003,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
28,2013,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,,,,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
29,2007,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,,,,,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,2
30,2009,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
31,2003,1,3,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
32,2001,1,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,2
33,2012,1,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2
34,2005,2,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2
35,1986,2,1,1,1,0.25,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,2
36,2009,2,1,1,1,0.5,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1
